Year,State,Month,Number of Fires,Date Reported
2010,Amazonas,January,82,1/01/2010
2011,Amazonas,January,53,1/01/2011
2012,Amazonas,January,6,1/01/2012
2013,Amazonas,January,37,1/01/2013
2014,Amazonas,January,46,1/01/2014
2015,Amazonas,January,35,1/01/2015
2016,Amazonas,January,770,1/01/2016
2017,Amazonas,January,65,1/01/2017
1998,Amazonas,February,0,1/01/1998
1999,Amazonas,February,43,1/01/1999
2000,Amazonas,February,62,1/01/2000
2001,Amazonas,February,8,1/01/2001
2002,Amazonas,February,2,1/01/2002
2003,Amazonas,February,62,1/01/2003
2004,Amazonas,February,92,1/01/2004
2005,Amazonas,February,6,1/01/2005
2006,Amazonas,February,10,1/01/2006
2007,Amazonas,February,92,1/01/2007
2008,Amazonas,February,32,1/01/2008
2009,Amazonas,February,3,1/01/2009
2010,Amazonas,February,81,1/01/2010
2011,Amazonas,February,30,1/01/2011
2012,Amazonas,February,25,1/01/2012
2013,Amazonas,February,16,1/01/2013
2014,Amazonas,February,49,1/01/2014
2015,Amazonas,February,107,1/01/2015
2016,Amazonas,February,275,1/01/2016
2017,Amazonas,February,52,1/01/2017
1998,Amazonas,March,0,1/01/1998
1999,Amazonas,March,7,1/01/1999
2000,Amazonas,March,69,1/01/2000
2001,Amazonas,March,6,1/01/2001
2002,Amazonas,March,5,1/01/2002
2003,Amazonas,March,64,1/01/2003
2004,Amazonas,March,6,1/01/2004
2005,Amazonas,March,12,1/01/2005
2006,Amazonas,March,20,1/01/2006
2007,Amazonas,March,6,1/01/2007
2008,Amazonas,March,10,1/01/2008
2009,Amazonas,March,11,1/01/2009
2010,Amazonas,March,116,1/01/2010
2011,Amazonas,March,49,1/01/2011
2012,Amazonas,March,17,1/01/2012
2013,Amazonas,March,49,1/01/2013
2014,Amazonas,March,50,1/01/2014
2015,Amazonas,March,46,1/01/2015
2016,Amazonas,March,140,1/01/2016
2017,Amazonas,March,45,1/01/2017
1998,Amazonas,April,0,1/01/1998
1999,Amazonas,April,2,1/01/1999
2000,Amazonas,April,18,1/01/2000
2001,Amazonas,April,1,1/01/2001
2002,Amazonas,April,2,1/01/2002
2003,Amazonas,April,11,1/01/2003
2004,Amazonas,April,4,1/01/2004
2005,Amazonas,April,5,1/01/2005
2006,Amazonas,April,5,1/01/2006
2007,Amazonas,April,0,1/01/2007
2008,Amazonas,April,13,1/01/2008
2009,Amazonas,April,1,1/01/2009
2010,Amazonas,April,11,1/01/2010
2011,Amazonas,April,5,1/01/2011
2012,Amazonas,April,3,1/01/2012
2013,Amazonas,April,20,1/01/2013
2014,Amazonas,April,25,1/01/2014
2015,Amazonas,April,24,1/01/2015
2016,Amazonas,April,22,1/01/2016
2017,Amazonas,April,20,1/01/2017
1998,Amazonas,May,0,1/01/1998
1999,Amazonas,May,0,1/01/1999
2000,Amazonas,May,51,1/01/2000
2001,Amazonas,May,0,1/01/2001
2002,Amazonas,May,8,1/01/2002
2003,Amazonas,May,2,1/01/2003
2004,Amazonas,May,0,1/01/2004
2005,Amazonas,May,8,1/01/2005
2006,Amazonas,May,4,1/01/2006
2007,Amazonas,May,0,1/01/2007
2008,Amazonas,May,1,1/01/2008
2009,Amazonas,May,3,1/01/2009
2010,Amazonas,May,13,1/01/2010
2011,Amazonas,May,6,1/01/2011
2012,Amazonas,May,12,1/01/2012
2013,Amazonas,May,19,1/01/2013
2014,Amazonas,May,12,1/01/2014
2015,Amazonas,May,10,1/01/2015
2016,Amazonas,May,30,1/01/2016
2017,Amazonas,May,40,1/01/2017
1998,Amazonas,June,2,1/01/1998
1999,Amazonas,June,7,1/01/1999
2000,Amazonas,June,6,1/01/2000
2001,Amazonas,June,5,1/01/2001
2002,Amazonas,June,5,1/01/2002
2003,Amazonas,June,3,1/01/2003
2004,Amazonas,June,12,1/01/2004
2005,Amazonas,June,78,1/01/2005
2006,Amazonas,June,9,1/01/2006
2007,Amazonas,June,23,1/01/2007
2008,Amazonas,June,7,1/01/2008
2009,Amazonas,June,13,1/01/2009
2010,Amazonas,June,9,1/01/2010
2011,Amazonas,June,22,1/01/2011
2012,Amazonas,June,45,1/01/2012
2013,Amazonas,June,56,1/01/2013
2014,Amazonas,June,74,1/01/2014
2015,Amazonas,June,33,1/01/2015
2016,Amazonas,June,90,1/01/2016
2017,Amazonas,June,119,1/01/2017
1998,Amazonas,July,71,1/01/1998
1999,Amazonas,July,11,1/01/1999
2000,Amazonas,July,39,1/01/2000
2001,Amazonas,July,9,1/01/2001
2002,Amazonas,July,146,1/01/2002
2003,Amazonas,July,180,1/01/2003
2004,Amazonas,July,177,1/01/2004
2005,Amazonas,July,676,1/01/2005
2006,Amazonas,July,123,1/01/2006
2007,Amazonas,July,116,1/01/2007
2008,Amazonas,July,108,1/01/2008
2009,Amazonas,July,199,1/01/2009
2010,Amazonas,July,640,1/01/2010
2011,Amazonas,July,271,1/01/2011
2012,Amazonas,July,234,1/01/2012
2013,Amazonas,July,248,1/01/2013
2014,Amazonas,July,202,1/01/2014
2015,Amazonas,July,356,1/01/2015
2016,Amazonas,July,1.137,1/01/2016
2017,Amazonas,July,1.975,1/01/2017
1998,Amazonas,August,321,1/01/1998
1999,Amazonas,August,259,1/01/1999
2000,Amazonas,August,180,1/01/2000
2001,Amazonas,August,501,1/01/2001
2002,Amazonas,August,741,1/01/2002
2003,Amazonas,August,1.867,1/01/2003
2004,Amazonas,August,1.207,1/01/2004
2005,Amazonas,August,2.316,1/01/2005
2006,Amazonas,August,1.422,1/01/2006
2007,Amazonas,August,2.241,1/01/2007
2008,Amazonas,August,861,1/01/2008
2009,Amazonas,August,1.321,1/01/2009
2010,Amazonas,August,3.727,1/01/2010
2011,Amazonas,August,1.243,1/01/2011
2012,Amazonas,August,3.011,1/01/2012
2013,Amazonas,August,1.276,1/01/2013
2014,Amazonas,August,3.852,1/01/2014
2015,Amazonas,August,4.564,1/01/2015
2016,Amazonas,August,3.611,1/01/2016
2017,Amazonas,August,6.316,1/01/2017
1998,Amazonas,September,267,1/01/1998
1999,Amazonas,September,216,1/01/1999
2000,Amazonas,September,189,1/01/2000
2001,Amazonas,September,166,1/01/2001
2002,Amazonas,September,928,1/01/2002
2003,Amazonas,September,1.401,1/01/2003
2004,Amazonas,September,911,1/01/2004
2005,Amazonas,September,2.812,1/01/2005
2006,Amazonas,September,2.218,1/01/2006
2007,Amazonas,September,1.36,1/01/2007
2008,Amazonas,September,998,1/01/2008
2009,Amazonas,September,3.091,1/01/2009
2010,Amazonas,September,2.781,1/01/2010
2011,Amazonas,September,1.295,1/01/2011
2012,Amazonas,September,2.392,1/01/2012
2013,Amazonas,September,1.739,1/01/2013
2014,Amazonas,September,3.057,1/01/2014
2015,Amazonas,September,5.882,1/01/2015
2016,Amazonas,September,3.119,1/01/2016
2017,Amazonas,September,4.033,1/01/2017
1998,Amazonas,October,83,1/01/1998
1999,Amazonas,October,479,1/01/1999
2000,Amazonas,October,145,1/01/2000
2001,Amazonas,October,332,1/01/2001
2002,Amazonas,October,695,1/01/2002
2003,Amazonas,October,725,1/01/2003
2004,Amazonas,October,710,1/01/2004
2005,Amazonas,October,545,1/01/2005
2006,Amazonas,October,721,1/01/2006
2007,Amazonas,October,215,1/01/2007
2008,Amazonas,October,632,1/01/2008
2009,Amazonas,October,2.189,1/01/2009
2010,Amazonas,October,889,1/01/2010
2011,Amazonas,October,694,1/01/2011
2012,Amazonas,October,1.238,1/01/2012
2013,Amazonas,October,1.202,1/01/2013
2014,Amazonas,October,952,1/01/2014
2015,Amazonas,October,2.494,1/01/2015
2016,Amazonas,October,2.105,1/01/2016
2017,Amazonas,October,1.581,1/01/2017
1998,Amazonas,November,6,1/01/1998
1999,Amazonas,November,32,1/01/1999
2000,Amazonas,November,27,1/01/2000
2001,Amazonas,November,244,1/01/2001
2002,Amazonas,November,259,1/01/2002
2003,Amazonas,November,169,1/01/2003
2004,Amazonas,November,209,1/01/2004
2005,Amazonas,November,261,1/01/2005
2006,Amazonas,November,59,1/01/2006
2007,Amazonas,November,90,1/01/2007
2008,Amazonas,November,39,1/01/2008
2009,Amazonas,November,973,1/01/2009
2010,Amazonas,November,354,1/01/2010
2011,Amazonas,November,399,1/01/2011
2012,Amazonas,November,682,1/01/2012
2013,Amazonas,November,220,1/01/2013
2014,Amazonas,November,676,1/01/2014
2015,Amazonas,November,1.054,1/01/2015
2016,Amazonas,November,591,1/01/2016
2017,Amazonas,November,552,1/01/2017
1998,Amazonas,December,196,1/01/1998
1999,Amazonas,December,2,1/01/1999
2000,Amazonas,December,60,1/01/2000
2001,Amazonas,December,22,1/01/2001
2002,Amazonas,December,44,1/01/2002
2003,Amazonas,December,147,1/01/2003
2004,Amazonas,December,53,1/01/2004
2005,Amazonas,December,17,1/01/2005
2006,Amazonas,December,23,1/01/2006
2007,Amazonas,December,7,1/01/2007
2008,Amazonas,December,0,1/01/2008
2009,Amazonas,December,102,1/01/2009
2010,Amazonas,December,123,1/01/2010
2011,Amazonas,December,121,1/01/2011
2012,Amazonas,December,80,1/01/2012
2013,Amazonas,December,236,1/01/2013
2014,Amazonas,December,293,1/01/2014
2015,Amazonas,December,565,1/01/2015
2016,Amazonas,December,133,1/01/2016
1998,Bahia,January,0,1/01/1998
1999,Bahia,January,114,1/01/1999
2000,Bahia,January,31,1/01/2000
2001,Bahia,January,24,1/01/2001
2002,Bahia,January,125,1/01/2002
2003,Bahia,January,439,1/01/2003
2004,Bahia,January,158,1/01/2004
2005,Bahia,January,303,1/01/2005
2006,Bahia,January,225,1/01/2006
2007,Bahia,January,373,1/01/2007
2008,Bahia,January,314,1/01/2008
2009,Bahia,January,177,1/01/2009
2010,Bahia,January,297,1/01/2010
2011,Bahia,January,101,1/01/2011
2012,Bahia,January,179,1/01/2012
2013,Bahia,January,125,1/01/2013
2014,Bahia,January,132,1/01/2014
2015,Bahia,January,256,1/01/2015
2016,Bahia,January,285,1/01/2016
2017,Bahia,January,154,1/01/2017
1998,Bahia,February,0,1/01/1998
1999,Bahia,February,157,1/01/1999
2000,Bahia,February,32,1/01/2000
2001,Bahia,February,101,1/01/2001
2002,Bahia,February,204,1/01/2002
2003,Bahia,February,223,1/01/2003
2004,Bahia,February,122,1/01/2004
2005,Bahia,February,143,1/01/2005
2006,Bahia,February,277,1/01/2006
2007,Bahia,February,113,1/01/2007
2008,Bahia,February,235,1/01/2008
2009,Bahia,February,117,1/01/2009
2010,Bahia,February,206,1/01/2010
2011,Bahia,February,156,1/01/2011
2012,Bahia,February,200,1/01/2012
2013,Bahia,February,231,1/01/2013
2014,Bahia,February,107,1/01/2014
2015,Bahia,February,143,1/01/2015
2016,Bahia,February,418,1/01/2016
2017,Bahia,February,100,1/01/2017
1998,Bahia,March,0,1/01/1998
1999,Bahia,March,83,1/01/1999
2000,Bahia,March,65,1/01/2000
2001,Bahia,March,4,1/01/2001
2002,Bahia,March,146,1/01/2002
2003,Bahia,March,274,1/01/2003
2004,Bahia,March,115,1/01/2004
2005,Bahia,March,158,1/01/2005
2006,Bahia,March,199,1/01/2006
2007,Bahia,March,141,1/01/2007
2008,Bahia,March,135,1/01/2008
2009,Bahia,March,249,1/01/2009
2010,Bahia,March,156,1/01/2010
2011,Bahia,March,90,1/01/2011
2012,Bahia,March,404,1/01/2012
2013,Bahia,March,363,1/01/2013
2014,Bahia,March,148,1/01/2014
2015,Bahia,March,229,1/01/2015
2016,Bahia,March,281,1/01/2016
2017,Bahia,March,163,1/01/2017
1998,Bahia,April,0,1/01/1998
1999,Bahia,April,55,1/01/1999
2000,Bahia,April,23,1/01/2000
2001,Bahia,April,26,1/01/2001
2002,Bahia,April,110,1/01/2002
2003,Bahia,April,376,1/01/2003
2004,Bahia,April,89,1/01/2004
2005,Bahia,April,76,1/01/2005
2006,Bahia,April,60,1/01/2006
2007,Bahia,April,64,1/01/2007
2008,Bahia,April,151,1/01/2008
2009,Bahia,April,40,1/01/2009
2010,Bahia,April,103,1/01/2010
2011,Bahia,April,149,1/01/2011
2012,Bahia,April,396,1/01/2012
2013,Bahia,April,108,1/01/2013
2014,Bahia,April,183,1/01/2014
2015,Bahia,April,190,1/01/2015
2016,Bahia,April,217,1/01/2016
2017,Bahia,April,94,1/01/2017
1998,Bahia,May,0,1/01/1998
1999,Bahia,May,76,1/01/1999
2000,Bahia,May,71,1/01/2000
2001,Bahia,May,85,1/01/2001
2002,Bahia,May,166,1/01/2002
2003,Bahia,May,106,1/01/2003
2004,Bahia,May,124,1/01/2004
2005,Bahia,May,120,1/01/2005
2006,Bahia,May,43,1/01/2006
2007,Bahia,May,161,1/01/2007
2008,Bahia,May,56,1/01/2008
2009,Bahia,May,34,1/01/2009
2010,Bahia,May,198,1/01/2010
2011,Bahia,May,189,1/01/2011
2012,Bahia,May,326,1/01/2012
2013,Bahia,May,141,1/01/2013
2014,Bahia,May,224,1/01/2014
2015,Bahia,May,144,1/01/2015
2016,Bahia,May,259,1/01/2016
2017,Bahia,May,121,1/01/2017
1998,Bahia,June,55,1/01/1998
1999,Bahia,June,64,1/01/1999
2000,Bahia,June,178,1/01/2000
2001,Bahia,June,98,1/01/2001
2002,Bahia,June,118,1/01/2002
2003,Bahia,June,140,1/01/2003
2004,Bahia,June,289,1/01/2004
2005,Bahia,June,211,1/01/2005
2006,Bahia,June,68,1/01/2006
2007,Bahia,June,270,1/01/2007
2008,Bahia,June,72,1/01/2008
2009,Bahia,June,92,1/01/2009
2010,Bahia,June,192,1/01/2010
2011,Bahia,June,345,1/01/2011
2012,Bahia,June,385,1/01/2012
2013,Bahia,June,208,1/01/2013
2014,Bahia,June,243,1/01/2014
2015,Bahia,June,242,1/01/2015
2016,Bahia,June,416,1/01/2016
2017,Bahia,June,329,1/01/2017
1998,Bahia,July,219,1/01/1998
1999,Bahia,July,107,1/01/1999
2000,Bahia,July,202,1/01/2000
2001,Bahia,July,248,1/01/2001
2002,Bahia,July,549,1/01/2002
2003,Bahia,July,261,1/01/2003
2004,Bahia,July,310,1/01/2004
2005,Bahia,July,269,1/01/2005
2006,Bahia,July,229,1/01/2006
2007,Bahia,July,811,1/01/2007
2008,Bahia,July,271,1/01/2008
2009,Bahia,July,321,1/01/2009
2010,Bahia,July,519,1/01/2010
2011,Bahia,July,578,1/01/2011
2012,Bahia,July,906,1/01/2012
2013,Bahia,July,362,1/01/2013
2014,Bahia,July,249,1/01/2014
2015,Bahia,July,306,1/01/2015
2016,Bahia,July,345,1/01/2016
2017,Bahia,July,300,1/01/2017
1998,Bahia,August,815,1/01/1998
1999,Bahia,August,453,1/01/1999
2000,Bahia,August,633,1/01/2000
2001,Bahia,August,979,1/01/2001
2002,Bahia,August,1.827,1/01/2002
2003,Bahia,August,1.039,1/01/2003
2004,Bahia,August,1.43,1/01/2004
2005,Bahia,August,948,1/01/2005
2006,Bahia,August,995,1/01/2006
2007,Bahia,August,3.734,1/01/2007
2008,Bahia,August,611,1/01/2008
2009,Bahia,August,439,1/01/2009
2010,Bahia,August,2.423,1/01/2010
2011,Bahia,August,1.795,1/01/2011
2012,Bahia,August,1.835,1/01/2012
2013,Bahia,August,610,1/01/2013
2014,Bahia,August,674,1/01/2014
2015,Bahia,August,829,1/01/2015
2016,Bahia,August,724,1/01/2016
2017,Bahia,August,1.018,1/01/2017
1998,Bahia,September,2.718,1/01/1998
1999,Bahia,September,1.275,1/01/1999
2000,Bahia,September,2.285,1/01/2000
2001,Bahia,September,3.964,1/01/2001
2002,Bahia,September,6.439,1/01/2002
2003,Bahia,September,8.847,1/01/2003
2004,Bahia,September,6.433,1/01/2004
2005,Bahia,September,4.066,1/01/2005
2006,Bahia,September,3.006,1/01/2006
2007,Bahia,September,7.438,1/01/2007
2008,Bahia,September,4.837,1/01/2008
2009,Bahia,September,3.61,1/01/2009
2010,Bahia,September,5.323,1/01/2010
2011,Bahia,September,7.086,1/01/2011
2012,Bahia,September,7.495,1/01/2012
2013,Bahia,September,2.681,1/01/2013
2014,Bahia,September,2.604,1/01/2014
2015,Bahia,September,7.956,1/01/2015
2016,Bahia,September,1.819,1/01/2016
2017,Bahia,September,1.791,1/01/2017
1998,Bahia,October,1.969,1/01/1998
1999,Bahia,October,1.307,1/01/1999
2000,Bahia,October,3.35,1/01/2000
2001,Bahia,October,1.687,1/01/2001
2002,Bahia,October,5.414,1/01/2002
2003,Bahia,October,4.264,1/01/2003
2004,Bahia,October,4.81,1/01/2004
2005,Bahia,October,8.405,1/01/2005
2006,Bahia,October,2.079,1/01/2006
2007,Bahia,October,4.981,1/01/2007
2008,Bahia,October,7.691,1/01/2008
2009,Bahia,October,2.552,1/01/2009
2010,Bahia,October,5.264,1/01/2010
2011,Bahia,October,2.166,1/01/2011
2012,Bahia,October,4.607,1/01/2012
2013,Bahia,October,1.969,1/01/2013
2014,Bahia,October,2.763,1/01/2014
2015,Bahia,October,4.989,1/01/2015
2016,Bahia,October,1.415,1/01/2016
2017,Bahia,October,4.005,1/01/2017
1998,Bahia,November,49,1/01/1998
1999,Bahia,November,49,1/01/1999
2000,Bahia,November,114,1/01/2000
2001,Bahia,November,699,1/01/2001
2002,Bahia,November,1.02,1/01/2002
2003,Bahia,November,533,1/01/2003
2004,Bahia,November,1.736,1/01/2004
2005,Bahia,November,1.595,1/01/2005
2006,Bahia,November,239,1/01/2006
2007,Bahia,November,2.126,1/01/2007
2008,Bahia,November,3.175,1/01/2008
2009,Bahia,November,402,1/01/2009
2010,Bahia,November,605,1/01/2010
2011,Bahia,November,176,1/01/2011
2012,Bahia,November,168,1/01/2012
2013,Bahia,November,288,1/01/2013
2014,Bahia,November,348,1/01/2014
2015,Bahia,November,1.705,1/01/2015
2016,Bahia,November,408,1/01/2016
2017,Bahia,November,174,1/01/2017
1998,Bahia,December,82,1/01/1998
1999,Bahia,December,37,1/01/1999
2000,Bahia,December,24,1/01/2000
2001,Bahia,December,158,1/01/2001
2002,Bahia,December,848,1/01/2002
2003,Bahia,December,710,1/01/2003
2004,Bahia,December,423,1/01/2004
2005,Bahia,December,116,1/01/2005
2006,Bahia,December,169,1/01/2006
2007,Bahia,December,259,1/01/2007
2008,Bahia,December,52,1/01/2008
2009,Bahia,December,308,1/01/2009
2010,Bahia,December,226,1/01/2010
2011,Bahia,December,230,1/01/2011
2012,Bahia,December,477,1/01/2012
2013,Bahia,December,131,1/01/2013
2014,Bahia,December,144,1/01/2014
2015,Bahia,December,1.408,1/01/2015
2016,Bahia,December,164,1/01/2016
1998,Ceará,January,0,1/01/1998
1999,Ceará,January,47,1/01/1999
2000,Ceará,January,1,1/01/2000
2001,Ceará,January,11,1/01/2001
2002,Ceará,January,33,1/01/2002
2003,Ceará,January,264,1/01/2003
2004,Ceará,January,143,1/01/2004
2005,Ceará,January,384,1/01/2005
2006,Ceará,January,211,1/01/2006
2007,Ceará,January,304,1/01/2007
2008,Ceará,January,166,1/01/2008
2009,Ceará,January,347,1/01/2009
2010,Ceará,January,288,1/01/2010
2011,Ceará,January,32,1/01/2011
2012,Ceará,January,273,1/01/2012
2013,Ceará,January,103,1/01/2013
2014,Ceará,January,115,1/01/2014
2015,Ceará,January,207,1/01/2015
2016,Ceará,January,100,1/01/2016
2017,Ceará,January,91,1/01/2017
1998,Ceará,February,0,1/01/1998
1999,Ceará,February,16,1/01/1999
2000,Ceará,February,6,1/01/2000
2001,Ceará,February,0,1/01/2001
2002,Ceará,February,75,1/01/2002
2003,Ceará,February,9,1/01/2003
2004,Ceará,February,5,1/01/2004
2005,Ceará,February,25,1/01/2005
2006,Ceará,February,23,1/01/2006
2007,Ceará,February,3,1/01/2007
2008,Ceará,February,12,1/01/2008
2009,Ceará,February,8,1/01/2009
2010,Ceará,February,63,1/01/2010
2011,Ceará,February,2,1/01/2011
2012,Ceará,February,41,1/01/2012
2013,Ceará,February,49,1/01/2013
2014,Ceará,February,18,1/01/2014
2015,Ceará,February,25,1/01/2015
2016,Ceará,February,13,1/01/2016
2017,Ceará,February,9,1/01/2017
1998,Ceará,March,0,1/01/1998
1999,Ceará,March,30,1/01/1999
2000,Ceará,March,9,1/01/2000
2001,Ceará,March,0,1/01/2001
2002,Ceará,March,17,1/01/2002
2003,Ceará,March,3,1/01/2003
2004,Ceará,March,1,1/01/2004
2005,Ceará,March,5,1/01/2005
2006,Ceará,March,3,1/01/2006
2007,Ceará,March,2,1/01/2007
2008,Ceará,March,2,1/01/2008
2009,Ceará,March,3,1/01/2009
2010,Ceará,March,40,1/01/2010
2011,Ceará,March,6,1/01/2011
2012,Ceará,March,10,1/01/2012
2013,Ceará,March,17,1/01/2013
2014,Ceará,March,6,1/01/2014
2015,Ceará,March,20,1/01/2015
2016,Ceará,March,4,1/01/2016
2017,Ceará,March,4,1/01/2017
1998,Ceará,April,0,1/01/1998
1999,Ceará,April,6,1/01/1999
2000,Ceará,April,15,1/01/2000
2001,Ceará,April,2,1/01/2001
2002,Ceará,April,5,1/01/2002
2003,Ceará,April,3,1/01/2003
2004,Ceará,April,2,1/01/2004
2005,Ceará,April,4,1/01/2005
2006,Ceará,April,1,1/01/2006
2007,Ceará,April,1,1/01/2007
2008,Ceará,April,0,1/01/2008
2009,Ceará,April,0,1/01/2009
2010,Ceará,April,7,1/01/2010
2011,Ceará,April,1,1/01/2011
2012,Ceará,April,2,1/01/2012
2013,Ceará,April,4,1/01/2013
2014,Ceará,April,4,1/01/2014
2015,Ceará,April,3,1/01/2015
2016,Ceará,April,10,1/01/2016
2017,Ceará,April,6,1/01/2017
1998,Ceará,May,0,1/01/1998
1999,Ceará,May,5,1/01/1999
2000,Ceará,May,7,1/01/2000
2001,Ceará,May,81,1/01/2001
2002,Ceará,May,10,1/01/2002
2003,Ceará,May,0,1/01/2003
2004,Ceará,May,3,1/01/2004
2005,Ceará,May,1,1/01/2005
2006,Ceará,May,0,1/01/2006
2007,Ceará,May,0,1/01/2007
2008,Ceará,May,0,1/01/2008
2009,Ceará,May,0,1/01/2009
2010,Ceará,May,2,1/01/2010
2011,Ceará,May,0,1/01/2011
2012,Ceará,May,19,1/01/2012
2013,Ceará,May,4,1/01/2013
2014,Ceará,May,4,1/01/2014
2015,Ceará,May,17,1/01/2015
2016,Ceará,May,8,1/01/2016
2017,Ceará,May,9,1/01/2017
1998,Ceará,June,1,1/01/1998
1999,Ceará,June,16,1/01/1999
2000,Ceará,June,16,1/01/2000
2001,Ceará,June,38,1/01/2001
2002,Ceará,June,13,1/01/2002
2003,Ceará,June,2,1/01/2003
2004,Ceará,June,1,1/01/2004
2005,Ceará,June,6,1/01/2005
2006,Ceará,June,0,1/01/2006
2007,Ceará,June,1,1/01/2007
2008,Ceará,June,1,1/01/2008
2009,Ceará,June,0,1/01/2009
2010,Ceará,June,3,1/01/2010
2011,Ceará,June,5,1/01/2011
2012,Ceará,June,28,1/01/2012
2013,Ceará,June,5,1/01/2013
2014,Ceará,June,19,1/01/2014
2015,Ceará,June,22,1/01/2015
2016,Ceará,June,45,1/01/2016
2017,Ceará,June,23,1/01/2017
1998,Ceará,July,76,1/01/1998
1999,Ceará,July,83,1/01/1999
2000,Ceará,July,18,1/01/2000
2001,Ceará,July,146,1/01/2001
2002,Ceará,July,12,1/01/2002
2003,Ceará,July,14,1/01/2003
2004,Ceará,July,16,1/01/2004
2005,Ceará,July,14,1/01/2005
2006,Ceará,July,1,1/01/2006
2007,Ceará,July,11,1/01/2007
2008,Ceará,July,3,1/01/2008
2009,Ceará,July,7,1/01/2009
2010,Ceará,July,44,1/01/2010
2011,Ceará,July,18,1/01/2011
2012,Ceará,July,50,1/01/2012
2013,Ceará,July,4,1/01/2013
2014,Ceará,July,47,1/01/2014
2015,Ceará,July,25,1/01/2015
2016,Ceará,July,124,1/01/2016
2017,Ceará,July,26,1/01/2017
1998,Ceará,August,93,1/01/1998
1999,Ceará,August,131,1/01/1999
2000,Ceará,August,79,1/01/2000
2001,Ceará,August,219,1/01/2001
2002,Ceará,August,111,1/01/2002
2003,Ceará,August,109,1/01/2003
2004,Ceará,August,61,1/01/2004
2005,Ceará,August,51,1/01/2005
2006,Ceará,August,50,1/01/2006
2007,Ceará,August,182,1/01/2007
2008,Ceará,August,32,1/01/2008
2009,Ceará,August,26,1/01/2009
2010,Ceará,August,202,1/01/2010
2011,Ceará,August,53,1/01/2011
2012,Ceará,August,278,1/01/2012
2013,Ceará,August,32,1/01/2013
2014,Ceará,August,155,1/01/2014
2015,Ceará,August,127,1/01/2015
2016,Ceará,August,293,1/01/2016
2017,Ceará,August,121,1/01/2017
